lr: 0.01, num_eps: 10000, max_num_actions: 500
Episode: 0, avg num actions: 0.07
Episode: 100, avg num actions: 230.49
Episode: 200, avg num actions: 251.23
Episode: 300, avg num actions: 74.66
Episode: 400, avg num actions: 9.22
Episode: 500, avg num actions: 51.36
Episode: 600, avg num actions: 132.16
Episode: 700, avg num actions: 49.36
Episode: 800, avg num actions: 64.57
Episode: 900, avg num actions: 98.42
Episode: 1000, avg num actions: 65.69
Episode: 1100, avg num actions: 21.2
Episode: 1200, avg num actions: 35.56
Episode: 1300, avg num actions: 27.05
Episode: 1400, avg num actions: 65.08
Episode: 1500, avg num actions: 41.64
Episode: 1600, avg num actions: 34.82
Episode: 1700, avg num actions: 46.62
Episode: 1800, avg num actions: 25.5
Episode: 1900, avg num actions: 12.31
Episode: 2000, avg num actions: 8.07
Episode: 2100, avg num actions: 21.57
Episode: 2200, avg num actions: 54.09
Episode: 2300, avg num actions: 59.37
Episode: 2400, avg num actions: 66.89
Episode: 2500, avg num actions: 43.91
Episode: 2600, avg num actions: 33.97
Episode: 2700, avg num actions: 28.8
Episode: 2800, avg num actions: 17.88
Episode: 2900, avg num actions: 5.91
Episode: 3000, avg num actions: 5.74
Episode: 3100, avg num actions: 8.28
Episode: 3200, avg num actions: 6.5
Episode: 3300, avg num actions: 16.74
Episode: 3400, avg num actions: 13.12
Episode: 3500, avg num actions: 14.72
Episode: 3600, avg num actions: 50.96
Episode: 3700, avg num actions: 30.5
Episode: 3800, avg num actions: 56.3
Episode: 3900, avg num actions: 67.55
Episode: 4000, avg num actions: 108.83
Episode: 4100, avg num actions: 55.5
Episode: 4200, avg num actions: 38.37
Episode: 4300, avg num actions: 37.14
Episode: 4400, avg num actions: 57.73
Episode: 4500, avg num actions: 137.97
Episode: 4600, avg num actions: 203.34
Episode: 4700, avg num actions: 126.24
Episode: 4800, avg num actions: 71.01
Episode: 4900, avg num actions: 94.58
Episode: 5000, avg num actions: 59.72
Episode: 5100, avg num actions: 34.69
Episode: 5200, avg num actions: 46.17
Episode: 5300, avg num actions: 52.99
Episode: 5400, avg num actions: 36.87
Episode: 5500, avg num actions: 38.72
Episode: 5600, avg num actions: 46.48
Episode: 5700, avg num actions: 53.66
Episode: 5800, avg num actions: 65.37
Episode: 5900, avg num actions: 33.72
Episode: 6000, avg num actions: 16.74
Episode: 6100, avg num actions: 47.59
Episode: 6200, avg num actions: 35.45
Episode: 6300, avg num actions: 53.39
Episode: 6400, avg num actions: 54.29
Episode: 6500, avg num actions: 48.03
Episode: 6600, avg num actions: 34.66
Episode: 6700, avg num actions: 13.11
Episode: 6800, avg num actions: 15.85
Episode: 6900, avg num actions: 8.82
Episode: 7000, avg num actions: 15.55
Episode: 7100, avg num actions: 21.54
Episode: 7200, avg num actions: 13.14
Episode: 7300, avg num actions: 17.62
Episode: 7400, avg num actions: 34.12
Episode: 7500, avg num actions: 46.37
Episode: 7600, avg num actions: 62.6
Episode: 7700, avg num actions: 64.15
Episode: 7800, avg num actions: 127.1
Episode: 7900, avg num actions: 48.74
Episode: 8000, avg num actions: 27.24
Episode: 8100, avg num actions: 16.67
Episode: 8200, avg num actions: 13.17
Episode: 8300, avg num actions: 12.79
Episode: 8400, avg num actions: 47.45
Episode: 8500, avg num actions: 48.45
Episode: 8600, avg num actions: 38.83
Episode: 8700, avg num actions: 68.44
Episode: 8800, avg num actions: 38.39
Episode: 8900, avg num actions: 63.95
Episode: 9000, avg num actions: 26.58
Episode: 9100, avg num actions: 65.62
Episode: 9200, avg num actions: 42.41
Episode: 9300, avg num actions: 100.69
Episode: 9400, avg num actions: 77.06
Episode: 9500, avg num actions: 50.36
Episode: 9600, avg num actions: 28.46
Episode: 9700, avg num actions: 33.96
Episode: 9800, avg num actions: 52.69
Episode: 9900, avg num actions: 22.77
