lr: 0.01, num_eps: 10000, max_num_actions: 500
Episode: 0, avg num actions: 4.66
Episode: 100, avg num actions: 350.43
Episode: 200, avg num actions: 320.11
Episode: 300, avg num actions: 145.3
Episode: 400, avg num actions: 224.27
Episode: 500, avg num actions: 170.44
Episode: 600, avg num actions: 407.17
Episode: 700, avg num actions: 269.6
Episode: 800, avg num actions: 196.75
Episode: 900, avg num actions: 320.57
Episode: 1000, avg num actions: 237.46
Episode: 1100, avg num actions: 209.38
Episode: 1200, avg num actions: 174.45
Episode: 1300, avg num actions: 295.9
Episode: 1400, avg num actions: 172.7
Episode: 1500, avg num actions: 159.09
Episode: 1600, avg num actions: 185.54
Episode: 1700, avg num actions: 141.42
Episode: 1800, avg num actions: 178.57
Episode: 1900, avg num actions: 173.62
Episode: 2000, avg num actions: 163.71
Episode: 2100, avg num actions: 143.03
Episode: 2200, avg num actions: 154.09
Episode: 2300, avg num actions: 169.14
Episode: 2400, avg num actions: 204.78
Episode: 2500, avg num actions: 248.36
Episode: 2600, avg num actions: 205.19
Episode: 2700, avg num actions: 152.18
Episode: 2800, avg num actions: 158.45
Episode: 2900, avg num actions: 171.41
Episode: 3000, avg num actions: 222.04
Episode: 3100, avg num actions: 169.43
Episode: 3200, avg num actions: 163.07
Episode: 3300, avg num actions: 185.22
Episode: 3400, avg num actions: 152.04
Episode: 3500, avg num actions: 186.35
Episode: 3600, avg num actions: 159.42
Episode: 3700, avg num actions: 169.79
Episode: 3800, avg num actions: 142.52
Episode: 3900, avg num actions: 145.33
Episode: 4000, avg num actions: 170.53
Episode: 4100, avg num actions: 233.47
Episode: 4200, avg num actions: 481.06
Episode: 4300, avg num actions: 265.53
Episode: 4400, avg num actions: 212.02
Episode: 4500, avg num actions: 198.89
Episode: 4600, avg num actions: 222.12
Episode: 4700, avg num actions: 187.74
Episode: 4800, avg num actions: 182.08
Episode: 4900, avg num actions: 171.25
Episode: 5000, avg num actions: 176.48
Episode: 5100, avg num actions: 174.99
Episode: 5200, avg num actions: 142.25
Episode: 5300, avg num actions: 162.55
Episode: 5400, avg num actions: 164.88
Episode: 5500, avg num actions: 181.5
Episode: 5600, avg num actions: 181.14
Episode: 5700, avg num actions: 191.56
Episode: 5800, avg num actions: 172.72
Episode: 5900, avg num actions: 198.28
Episode: 6000, avg num actions: 145.74
Episode: 6100, avg num actions: 167.35
Episode: 6200, avg num actions: 158.61
Episode: 6300, avg num actions: 190.35
Episode: 6400, avg num actions: 167.61
Episode: 6500, avg num actions: 301.47
Episode: 6600, avg num actions: 359.73
Episode: 6700, avg num actions: 156.66
Episode: 6800, avg num actions: 156.77
Episode: 6900, avg num actions: 181.34
Episode: 7000, avg num actions: 182.71
Episode: 7100, avg num actions: 173.09
Episode: 7200, avg num actions: 170.48
Episode: 7300, avg num actions: 184.27
Episode: 7400, avg num actions: 150.44
Episode: 7500, avg num actions: 179.23
Episode: 7600, avg num actions: 168.37
Episode: 7700, avg num actions: 187.21
Episode: 7800, avg num actions: 176.59
Episode: 7900, avg num actions: 160.01
Episode: 8000, avg num actions: 185.87
Episode: 8100, avg num actions: 405.87
Episode: 8200, avg num actions: 485.67
Episode: 8300, avg num actions: 394.31
Episode: 8400, avg num actions: 193.75
Episode: 8500, avg num actions: 169.86
Episode: 8600, avg num actions: 239.55
Episode: 8700, avg num actions: 236.53
Episode: 8800, avg num actions: 187.35
Episode: 8900, avg num actions: 166.89
Episode: 9000, avg num actions: 130.17
Episode: 9100, avg num actions: 172.14
Episode: 9200, avg num actions: 153.11
Episode: 9300, avg num actions: 186.35
Episode: 9400, avg num actions: 197.19
Episode: 9500, avg num actions: 159.01
Episode: 9600, avg num actions: 197.92
Episode: 9700, avg num actions: 169.55
Episode: 9800, avg num actions: 147.83
Episode: 9900, avg num actions: 161.87
