lr: 0.1, num_eps: 10000, max_num_actions: 500
Episode: 0, avg num actions: 0.94
Episode: 100, avg num actions: 500.0
Episode: 200, avg num actions: 495.01
Episode: 300, avg num actions: 495.01
Episode: 400, avg num actions: 500.0
Episode: 500, avg num actions: 500.0
Episode: 600, avg num actions: 495.01
Episode: 700, avg num actions: 500.0
Episode: 800, avg num actions: 495.01
Episode: 900, avg num actions: 495.01
Episode: 1000, avg num actions: 500.0
Episode: 1100, avg num actions: 495.01
Episode: 1200, avg num actions: 500.0
Episode: 1300, avg num actions: 490.02
Episode: 1400, avg num actions: 500.0
Episode: 1500, avg num actions: 500.0
Episode: 1600, avg num actions: 500.0
Episode: 1700, avg num actions: 500.0
Episode: 1800, avg num actions: 495.01
Episode: 1900, avg num actions: 500.0
Episode: 2000, avg num actions: 500.0
Episode: 2100, avg num actions: 495.01
Episode: 2200, avg num actions: 490.02
Episode: 2300, avg num actions: 495.01
Episode: 2400, avg num actions: 500.0
Episode: 2500, avg num actions: 485.03
Episode: 2600, avg num actions: 495.01
Episode: 2700, avg num actions: 485.03
Episode: 2800, avg num actions: 495.01
Episode: 2900, avg num actions: 495.01
Episode: 3000, avg num actions: 485.03
Episode: 3100, avg num actions: 490.02
Episode: 3200, avg num actions: 500.0
Episode: 3300, avg num actions: 485.03
Episode: 3400, avg num actions: 495.01
Episode: 3500, avg num actions: 495.01
Episode: 3600, avg num actions: 495.01
Episode: 3700, avg num actions: 500.0
Episode: 3800, avg num actions: 495.01
Episode: 3900, avg num actions: 495.01
Episode: 4000, avg num actions: 495.01
Episode: 4100, avg num actions: 490.02
Episode: 4200, avg num actions: 495.01
Episode: 4300, avg num actions: 490.02
Episode: 4400, avg num actions: 500.0
Episode: 4500, avg num actions: 495.01
Episode: 4600, avg num actions: 495.01
Episode: 4700, avg num actions: 495.01
Episode: 4800, avg num actions: 495.01
Episode: 4900, avg num actions: 500.0
Episode: 5000, avg num actions: 500.0
Episode: 5100, avg num actions: 495.01
Episode: 5200, avg num actions: 485.03
Episode: 5300, avg num actions: 495.01
Episode: 5400, avg num actions: 480.04
Episode: 5500, avg num actions: 490.02
Episode: 5600, avg num actions: 495.01
Episode: 5700, avg num actions: 500.0
Episode: 5800, avg num actions: 500.0
Episode: 5900, avg num actions: 490.02
Episode: 6000, avg num actions: 500.0
Episode: 6100, avg num actions: 495.01
Episode: 6200, avg num actions: 485.03
Episode: 6300, avg num actions: 495.01
Episode: 6400, avg num actions: 500.0
Episode: 6500, avg num actions: 495.01
Episode: 6600, avg num actions: 485.03
Episode: 6700, avg num actions: 495.01
Episode: 6800, avg num actions: 500.0
Episode: 6900, avg num actions: 490.02
Episode: 7000, avg num actions: 495.01
Episode: 7100, avg num actions: 485.03
Episode: 7200, avg num actions: 495.01
Episode: 7300, avg num actions: 480.04
Episode: 7400, avg num actions: 490.02
Episode: 7500, avg num actions: 500.0
Episode: 7600, avg num actions: 500.0
Episode: 7700, avg num actions: 500.0
Episode: 7800, avg num actions: 490.02
Episode: 7900, avg num actions: 500.0
Episode: 8000, avg num actions: 490.02
Episode: 8100, avg num actions: 490.02
Episode: 8200, avg num actions: 495.01
Episode: 8300, avg num actions: 500.0
Episode: 8400, avg num actions: 500.0
Episode: 8500, avg num actions: 500.0
Episode: 8600, avg num actions: 485.03
Episode: 8700, avg num actions: 500.0
Episode: 8800, avg num actions: 500.0
Episode: 8900, avg num actions: 500.0
Episode: 9000, avg num actions: 490.02
Episode: 9100, avg num actions: 500.0
Episode: 9200, avg num actions: 495.01
Episode: 9300, avg num actions: 495.01
Episode: 9400, avg num actions: 485.03
Episode: 9500, avg num actions: 495.01
Episode: 9600, avg num actions: 495.01
Episode: 9700, avg num actions: 495.01
Episode: 9800, avg num actions: 500.0
Episode: 9900, avg num actions: 495.01
